💥｜新闻,#genre#
CCTV1,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000210103.m3u8,cntv-cctv1
CCTV1,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR,cntv-cctv1
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8,cntv-cctv1
CCTV1,http://111.59.63.32:9901/tsfile/live/1008_1.m3u8,cntv-cctv1
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8,cntv-cctv1
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?,cntv-cctv1
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8,cntv-cctv1
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8,cntv-cctv1
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8,cntv-cctv1
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8,cntv-cctv1
CCTV1,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8,cntv-cctv1
CCTV1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8,cntv-cctv1
